"Department, Lab, or Center",Articles,Total Collaborations,Distinct Collaborators
Electrical Engineering and Computer Science,2628,5028,76
Physics,2593,4680,46
Biology,1310,2566,54
Computer Science and Artificial Intelligence Laboratory,1120,2236,45
Mechanical Engineering,1055,1328,84
Laboratory for Nuclear Science,942,1960,19
Chemistry,876,1048,49
Biological Engineering,842,2582,55
Health Sciences and Technology,743,1390,43
Research Laboratory of Electronics,710,1780,45
Brain and Cognitive Sciences,707,1470,42
Materials Science and Engineering,641,1244,57
"Earth, Atmospheric, and Planetary Sciences",632,340,27
Mathematics,629,694,31
Koch Institute for Integrative Cancer Research at MIT,596,1572,49
Chemical Engineering,568,1386,53
Civil and Environmental Engineering,528,536,41
Aeronautics and Astronautics,498,808,42
Sloan School of Management,468,264,32
Kavli Institute for Astrophysics and Space Research,425,780,19
Media Laboratory,364,368,32
Whitehead Institute for Biomedical Research,315,886,25
Lincoln Laboratory,313,426,36
Laboratory for Information and Decision Systems,308,534,19
Program in Media Arts and Sciences,307,786,31
Center for Theoretical Physics,297,644,13
Economics,284,96,8
McGovern Institute for Brain Research at MIT,273,658,24
Nuclear Science and Engineering,222,412,27
Picower Institute for Learning and Memory,195,548,19
Engineering Systems Division,165,268,32
School of Science,161,618,25
Plasma Science and Fusion Center,154,296,9
Microsystems Technology Laboratories,127,304,20
School of Engineering,118,308,34
Institute for Soldier Nanotechnologies,113,466,21
Materials Processing Center,110,358,22
Linguistics and Philosophy,107,28,4
Institute for Medical Engineering and Science,102,430,25
Francis Bitter National Magnet Laboratory,92,212,15
Urban Studies and Planning,86,92,12
Computational and Systems Biology Program,74,272,22
Center for Ultracold Atoms,72,252,5
Center for Global Change Science,69,74,5
Broad Institute of MIT and Harvard,66,118,12
D-Lab,66,8,4
Spectroscopy Laboratory,63,170,14
Whitaker College of Health Sciences and Technology,62,234,19
Operations Research Center,56,138,8
Laboratory for Electromagnetic and Electronic Systems,55,142,9
Political Science,52,22,5
Center for Biomedical Engineering,51,88,14
Center for Environmental Health Sciences,51,126,9
Ragon Institute of MGH,51,190,10
Laboratory for Manufacturing and Productivity,49,100,11
Microphotonics Center,41,142,3
Singapore-MIT Alliance in Research and Technology,40,114,19
Singapore-MIT Alliance,37,60,16
Architecture,36,40,9
MIT/W.H.O.I.,36,56,6
Parsons Laboratory for Environmental Science and Engineering,36,4,2
"Program in Science, Technology, and Society",32,34,5
MIT Nuclear Reactor Laboratory,31,110,17
Anthropology Program,30,8,2
Joint Program on the Science & Policy of Global Change,29,52,5
Laboratory for Atomistic and Molecular Mechanics,29,68,6
SENSEable City Laboratory,29,6,3
Humanities. History Section,27,4,2
MIT Energy Initiative,27,52,12
Aerospace Controls Laboratory,26,12,3
Center for Materials Science and Engineering,26,114,18
MIT Sociotechnical Systems Research Center,24,44,4
Haystack Observatory,23,36,3
RIKEN-MIT Center for Neural Circuit Genetics,23,106,4
School of Humanities,21,14,5
Humanities. Literature Section,20,4,1
Laser Interferometer Gravitational-Wave Observatory,20,76,4
Glenn Laboratory for the Science of Aging,19,40,2
Synthetic Biology Center,18,24,4
Center for Computational Engineering,17,56,6
Hatsopoulos Microfluids Laboratory,17,40,4
Bates Linear Accelerator Center,16,72,7
Charles Stark Draper Laboratory,14,46,16
Sea Grant College Program,14,18,3
Earth Resources Laboratory,13,24,1
Nonlinear Systems Laboratory,13,30,3
Electrochemical Energy Laboratory,12,44,5
Laser Biomedical Research Center,12,48,8
Auto-ID Laboratory,11,12,2
Center for Bits and Atoms,11,40,11
Cell Decision Process Center,10,20,8
Center for Technology,10,18,5
Humans and Automation Lab,10,4,2
Center for Biological & Computational Learning,9,38,5
Center for Transportation & Logistics,9,18,7
Program in History,9,6,3
Abdul Latif Jameel Poverty Action Lab,8,20,4
Center for Collective Intelligence,8,18,3
Center for Gynepathology Research,8,20,6
Ludwig Center for Molecular Oncology,8,38,7
Biomaterials Science and Engineering Laboratory,7,38,4
Center for Ocean Engineering,7,24,5
Laboratory for Computational Cell Biology & Biophysics,7,14,5
Laboratory for Electrochemical Interfaces,7,20,4
MIT Program in Writing & Humanistic Studies,7,6,3
School of Architecture and Planning,7,6,3
Space Systems Laboratory,7,16,5
W. M. Keck Foundation Center for Extreme Quantum Information Theory,7,14,3
Center for Real Estate,6,6,1
Humanities. Music and Theater Arts Section,6,2,1
Laboratory for Computer Science,6,12,3
Laboratory for Human and Machine Haptics,6,22,4
MIT-Harvard Center for Cancer Nanotechnology Excellence,6,30,6
Center for International Studies,5,10,2
Comparative Media Studies,5,6,3
d'Arbeloff Lab for Information Systems and Technology,5,8,1
Humanities,5,4,1
MIT Experimental Study Group,5,12,2
Open Learning Enterprise,5,16,3
Sloan Automotive Laboratory,5,10,1
Systems Engineering Advancement Research Initiative,5,14,3
BioInstrumentation Laboratory,4,8,2
Building Technology Group,4,4,2
Device Research Laboratory,4,2,1
Information Services and Technology,4,10,4
Laboratory for Computational Physiology,4,14,4
Materials Systems Laboratory,4,18,3
MIT Edgerton Center,4,0,0
MIT-Portugal Program,4,0,0
Newman Laboratory for Biomechanics and Human Rehabilitation,4,10,2
Office of Digital Learning,4,12,4
Stochastic Systems Group,4,16,3
AgeLab,3,2,1
Center for Biomedical Innovation,3,8,4
Clinical Research Center,3,12,3
Foreign Languages and Literatures,3,12,3
High Voltage Research Laboratory,3,18,3
Libraries,3,4,2
Lorenz Center,3,4,1
MIT Teaching and Learning Laboratory,3,12,6
MIT-SUTD Collaboration,3,6,3
Neuroscience Statistics Research Laboratory,3,4,1
Office of Educational Innovation and Technology,3,12,6
Security Studies Program,3,8,2
Synthetic Intelligence Laboratory,3,6,1
Biotechnology Process Engineering Center,2,4,2
Center for Educational Computing Initiatives,2,4,2
Center for Excitonics,2,8,3
Communications and Networking Research Group,2,0,0
Intelligent Transportation Research Center,2,4,2
Intelligent Transportation Systems Laboratory,2,4,1
Lemelson-MIT Awards Program,2,8,4
MIT Medical,2,2,1
System Design and Management Program,2,4,2
Aerospace Biomedical and Life Support Engineering,1,4,2
Aerospace Computational Design Laboratory,1,0,0
Biological Engineering Accelerator Mass Spectrometry Laboratory,1,0,0
Center for Electromagnetic Theory and Applications,1,2,1
Complex Systems Research Laboratory,1,0,0
Division of Comparative Medicine,1,68,13
Laboratory for Autonomous Marine Sensing Systems,1,4,2
Laboratory for Aviation and the Environment,1,2,1
Lean Advancement Initiative,1,2,1
Man-Vehicle Laboratory,1,2,1
MIT Center for Digital Business,1,2,1
MIT Geospatial Data Center,1,2,1
MIT Museum,1,2,1
MIT Skoltech Initiative,1,0,0
MIT Terrascope program,1,2,1
Ocean Engineering,1,4,2
Office of Experiential Learning,1,4,2
Photovoltaic Research Laboratory,1,2,1
Police,1,2,1
Program in Art,1,8,4
Program in Computation for Design and Optimization,1,0,0
Program in Polymer Science and Technology,1,6,3
RIKEN-MIT Neuroscience Research Center,1,4,2
Signals,1,2,1
Simons Center for the Social Brain,1,4,2
