dc-identifier-mitlicense,14981
dc-contributor-mitauthor,14961
dc-identifier-uri,14981
dc-date-available,14981
dc-title,14979
dc-relation-journal,14953
dc-contributor-approver,7714
dc-identifier-issn,13148
dc-source,14894
dc-type,14981
dc-date-issued,14961
dc-date-accessioned,14981
dc-contributor-author,14960
dc-language-iso,14495
dc-contributor-department,14878
dc-title-alternative,561
dc-relation-isversionof,14776
dc-identifier-citation,14956
dc-publisher,14839
dc-rights,14800
dc-rights-uri,6990
dc-type-uri,14981
dc-eprint-version,14981
_id,14981
dspace-orderedauthors,13407
dc-date-submitted,11097
dc-description-abstract,14950
eprint-status,13548
dc-description-sponsorship,10815
eprint-grantNumber,169
dc-description,535
dc-identifier-pmid,296
dc-identifier-isbn,2227
dc-identifier-other,1181
dc-subject,371
dc-identifier-ismn,11
dc-identifier-govdoc,4
dc-date-updated,485
dc-language-rfc3066,485
dc-rights-holder,485
dc-relation-isreplacedby,1
dc-relation-uri,7
dc-date,1
